City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
123,Bilma,NE,18.6853,12.9164,72.81,17,0,4.14,clear sky
124,La Rioja,ES,42.25,-2.5,44.38,72,100,4.68,overcast clouds
125,Mahibadhoo,MV,3.7833,72.9667,81.16,70,94,9.22,overcast clouds
126,Guerrero Negro,MX,27.9769,-114.0611,60.8,72,100,7.43,overcast clouds
127,Gao,ML,16.6362,1.637,83.14,13,27,15.19,scattered clouds
128,Puerto Baquerizo Moreno,EC,-0.9,-89.6,71.73,84,16,8.7,few clouds
129,Qaanaaq,GL,77.484,-69.3632,-14.75,96,100,1.57,overcast clouds
130,Cap Malheureux,MU,-19.9842,57.6142,80.47,65,46,3.0,scattered clouds
131,Tuktoyaktuk,CA,69.4541,-133.0374,-5.98,97,100,8.28,light snow
132,Bambanglipuro,ID,-7.95,110.2833,77.7,89,100,10.13,moderate rain
133,Puerto Ayora,EC,-0.7393,-90.3518,72.55,98,76,5.99,broken clouds
134,Olafsvik,IS,64.8945,-23.7142,24.24,61,82,18.32,broken clouds
135,Bredasdorp,ZA,-34.5322,20.0403,68.85,40,3,15.73,clear sky
136,Angoche,MZ,-16.2325,39.9086,82.98,70,22,11.39,few clouds
137,Puerto Maldonado,PE,-12.6,-69.1833,77.4,88,75,2.3,broken clouds
138,Mayumba,GA,-3.432,10.6554,82.76,75,81,7.81,broken clouds
139,Nautla,MX,20.2167,-96.7833,65.77,79,36,4.45,scattered clouds
140,Aranos,NA,-24.1333,19.1167,93.61,19,25,11.65,scattered clouds
141,Bukama,CD,-9.2,25.85,73.51,95,100,4.61,moderate rain
142,Princeton,US,25.5384,-80.4089,75.02,85,100,5.99,overcast clouds
143,Mineros,BO,-17.1167,-63.2333,76.57,84,99,7.58,overcast clouds
144,Robinson,US,31.4677,-97.1147,64.53,94,100,9.82,overcast clouds
145,Ornskoldsvik,SE,63.2909,18.7153,32.95,100,100,24.16,light snow
146,Progreso,MX,21.2833,-89.6667,72.1,86,65,9.75,light rain
147,Pau Brasil,BR,-15.4642,-39.6511,85.6,56,97,1.66,overcast clouds
148,Corinto,GR,37.9407,22.9573,60.89,61,12,1.61,few clouds
149,Yumen,CN,40.2833,97.2,13.69,61,0,7.58,clear sky
150,Never,FR,46.9896,3.159,53.31,82,75,10.36,broken clouds
151,Lompoc,US,34.6391,-120.4579,51.6,92,100,5.75,overcast clouds
152,Alice Springs,AU,-23.7,133.8833,81.95,51,95,14.97,overcast clouds
153,Lebu,CL,-37.6167,-73.65,62.62,62,12,21.14,few clouds
154,Kapaa,US,22.0752,-159.319,69.78,66,3,4.0,clear sky
155,Nouadhibou,MR,20.931,-17.0347,67.98,77,20,16.11,light rain
156,Grand-Lahou,CI,5.1367,-5.0242,85.87,60,34,9.82,scattered clouds
157,Atuona,PF,-9.8,-139.0333,77.81,70,7,15.66,clear sky
158,Kasongo-Lunda,CD,-6.4667,16.8167,83.34,66,99,3.85,overcast clouds
159,Kodiak,US,57.79,-152.4072,38.71,93,100,27.63,light rain
160,Mamakan,RU,57.8161,114.0028,12.49,97,100,2.48,light snow
161,Fonte Boa,BR,-2.4959,-66.2662,75.54,95,99,2.71,overcast clouds
162,Chokurdakh,RU,70.6333,147.9167,-29.78,100,99,4.81,overcast clouds
163,Xichang,CN,27.8964,102.2634,38.32,87,23,1.43,few clouds
164,Stornoway,GB,58.2093,-6.3865,37.92,89,75,6.91,broken clouds
165,Upernavik,GL,72.7868,-56.1549,6.78,93,100,13.2,light snow
166,Shakawe,BW,-18.3667,21.85,96.87,19,81,3.38,broken clouds
167,Korla,CN,41.7597,86.1469,16.86,67,51,0.56,broken clouds
168,San Andres,CO,12.5847,-81.7006,82.42,74,40,16.11,scattered clouds
169,Severo-Kurilsk,RU,50.6789,156.125,27.36,80,100,7.27,light snow
170,Clyde River,CA,70.4692,-68.5914,-12.77,77,100,14.97,overcast clouds
171,Murray Bridge,AU,-35.1167,139.2667,59.13,74,2,11.36,clear sky
172,Narsaq,GL,60.9167,-46.05,6.53,60,0,8.61,clear sky
173,Naze,JP,28.3667,129.4833,58.12,74,100,17.81,overcast clouds
174,Fairbanks,US,64.8378,-147.7164,3.6,84,99,0.89,overcast clouds
175,Butaritari,KI,3.0707,172.7902,80.74,73,100,15.17,overcast clouds
176,Mareeba,AU,-17.0,145.4333,73.44,96,100,2.33,overcast clouds
177,Kutum,SD,14.2,24.6667,71.51,11,0,7.85,clear sky
178,Natal,BR,-5.795,-35.2094,77.22,88,40,9.22,scattered clouds
179,Solnechnyy,RU,50.7214,136.6319,-4.61,98,72,3.65,broken clouds
180,Santa Isabel,BR,-23.3156,-46.2214,74.16,91,100,7.63,light rain
181,Muros,ES,42.7762,-9.0603,57.09,89,100,10.45,light rain
182,Leningradskiy,RU,69.3833,178.4167,-21.77,96,99,7.49,overcast clouds
183,Yulara,AU,-25.2406,130.9889,82.54,41,100,16.24,overcast clouds
184,Barrhead,GB,55.7992,-4.3929,44.13,86,100,13.8,overcast clouds
185,Manta,EC,-0.95,-80.7333,76.78,83,75,4.61,broken clouds
186,Cockburn Town,TC,21.4612,-71.1419,78.89,73,0,17.9,clear sky
187,Stromness,GB,58.965,-3.296,44.56,84,68,11.99,broken clouds
188,Narathiwat,TH,6.3333,101.75,73.15,83,100,3.47,overcast clouds
189,Cuiluan,CN,47.72,128.648,-7.35,99,51,4.72,broken clouds
190,Bang Saphan,TH,11.2126,99.5117,71.85,78,100,3.09,overcast clouds
191,Alugan,PH,12.2188,125.4808,79.29,88,14,7.76,few clouds
192,Pacific Grove,US,36.6177,-121.9166,49.21,91,100,1.99,overcast clouds
193,Povenets,RU,62.8487,34.8262,8.64,99,99,0.58,overcast clouds
194,Kitimat,CA,54.0524,-128.6534,32.38,31,100,3.98,overcast clouds
195,Esperance,AU,-33.8667,121.9,65.1,67,0,17.07,clear sky
196,Capreol,CA,46.706,-80.9225,35.55,93,75,9.22,broken clouds
197,Rivadavia,AR,-33.1905,-68.4608,80.17,16,0,8.61,clear sky
198,Mahebourg,MU,-20.4081,57.7,82.69,61,20,6.91,few clouds
199,Fortuna,US,40.5982,-124.1573,51.66,89,100,20.71,overcast clouds
200,Sainte-Suzanne,RE,-20.9061,55.6089,80.82,81,100,8.05,light rain
201,Mosquera,CO,4.7059,-74.2302,57.29,72,20,2.3,few clouds
202,Were Ilu,ET,10.6,39.4333,54.43,75,98,7.0,overcast clouds
203,Karasjok,NO,69.4719,25.5112,3.96,98,92,8.19,overcast clouds
204,Ankang,CN,32.68,109.0172,41.59,54,10,1.23,clear sky
205,Holme,DK,56.1138,10.1725,45.97,90,99,17.25,light rain
206,Plettenberg Bay,ZA,-34.0527,23.3716,64.44,54,90,12.71,overcast clouds
207,Kawalu,ID,-7.3817,108.2082,73.06,93,100,2.01,overcast clouds
208,Ostrovnoy,RU,68.0531,39.5131,17.49,92,13,12.66,few clouds
209,Segou,ML,13.4317,-6.2157,89.89,11,90,14.99,overcast clouds
210,Quang Ngai,VN,15.1167,108.8,69.78,91,98,8.97,overcast clouds
211,Srednekolymsk,RU,67.45,153.6833,-38.29,100,70,3.6,broken clouds
212,Rio Grande,BR,-32.035,-52.0986,80.71,44,0,15.5,clear sky
213,Vaitape,PF,-16.5167,-151.75,80.74,73,61,14.09,broken clouds
214,Bajil,YE,15.0584,43.2851,79.93,63,98,6.98,overcast clouds
215,Berezovyy,RU,51.6667,135.7,-9.11,93,26,4.43,scattered clouds
216,Shingu,JP,33.7333,135.9833,42.21,66,5,8.77,clear sky
217,Sand,DE,50.0,10.6,52.47,84,96,16.46,overcast clouds
218,Upata,VE,8.0086,-62.3989,75.2,68,74,6.24,broken clouds
219,Sterling,US,39.0062,-77.4286,39.78,78,0,1.01,clear sky
220,Sao Borja,BR,-28.6606,-56.0044,84.94,24,30,7.63,scattered clouds
221,Geraldton,AU,-28.7667,114.6,72.01,73,0,13.8,clear sky
222,San Joaquin,US,37.9333,-121.3011,48.54,92,100,12.53,overcast clouds
223,Ketchikan,US,55.3422,-131.6461,33.51,84,100,6.29,overcast clouds
224,Chulym,RU,55.0997,80.9572,-12.66,100,97,2.86,overcast clouds
225,Cayenne,GF,4.9333,-52.3333,84.24,70,75,3.44,broken clouds
226,Waingapu,ID,-9.6567,120.2641,79.54,82,100,11.36,light rain
