City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
84,Albany,US,2022-12-22 00:17:41,42.6001,-73.9662,25.05,86,42,2.53
85,Qaanaaq,GL,2022-12-22 00:15:20,77.484,-69.3632,-22.99,79,15,6.71
86,Cockburn Town,TC,2022-12-22 00:19:50,21.4612,-71.1419,78.42,73,5,14.99
87,Norman Wells,CA,2022-12-22 00:19:50,65.282,-126.8329,-16.56,69,75,10.36
88,Saint-Philippe,RE,2022-12-22 00:19:51,-21.3585,55.7679,72.99,76,81,5.97
89,Vuktyl,RU,2022-12-22 00:19:51,63.8567,57.3094,-7.28,95,100,9.62
90,Khatanga,RU,2022-12-22 00:19:52,71.9667,102.5,-16.78,81,20,14.94
91,Surt,LY,2022-12-22 00:20:52,31.2089,16.5887,63.43,62,39,12.62
92,Sar-E Pul,AF,2022-12-22 00:20:52,35.8333,66.1667,27.16,72,75,3.44
93,Nanortalik,GL,2022-12-22 00:20:52,60.1432,-45.2371,20.21,60,0,5.12
94,Kashan,IR,2022-12-22 00:20:53,33.9831,51.4364,42.96,56,95,0.27
95,Hithadhoo,MV,2022-12-22 00:20:53,-0.6,73.0833,81.48,69,88,15.39
96,Araouane,ML,2022-12-22 00:20:53,18.9048,-3.5265,66.54,23,58,11.14
97,Bluff,NZ,2022-12-22 00:20:54,-46.6,168.3333,59.49,72,66,9.73
98,Yellowknife,CA,2022-12-22 00:20:54,62.456,-114.3525,-23.28,76,20,4.61
99,Wilmington,US,2022-12-22 00:19:13,34.2257,-77.9447,48.11,79,100,8.05
100,Luderitz,NA,2022-12-22 00:20:55,-26.6481,15.1594,64.09,93,10,3.04
101,Calama,CL,2022-12-22 00:20:55,-22.4667,-68.9333,64.89,27,0,19.57
102,Xining,CN,2022-12-22 00:20:56,36.6167,101.7667,18.59,42,16,2.04
103,Ucluelet,CA,2022-12-22 00:20:56,48.9329,-125.5528,28.09,79,98,9.95
104,Wanning,CN,2022-12-22 00:20:56,18.8003,110.3967,59.88,71,65,8.5
105,Constitucion,CL,2022-12-22 00:20:57,-35.3333,-72.4167,60.08,81,0,6.4
106,Faya,SA,2022-12-22 00:20:57,18.3851,42.4509,48.31,64,21,4.12
107,Spearfish,US,2022-12-22 00:20:57,44.4908,-103.8594,-12.12,64,100,23.02
108,Qiqihar,CN,2022-12-22 00:20:38,47.3408,123.9672,-3.01,78,99,13.65
109,Kuusamo,FI,2022-12-22 00:20:58,65.9667,29.1833,19.44,93,100,3.44
110,Swan River,CA,2022-12-22 00:20:58,52.1058,-101.2676,-13.11,77,100,1.14
111,Lagoa,PT,2022-12-22 00:20:59,39.05,-27.9833,62.51,83,100,36.46
112,Evensk,RU,2022-12-22 00:20:59,61.95,159.2333,23.77,39,0,31.12
113,Puerto Ayacucho,VE,2022-12-22 00:20:59,5.6639,-67.6236,80.73,70,93,5.86
114,Ambanja,MG,2022-12-22 00:21:00,-13.6833,48.45,73.8,93,30,3.36
115,Kavieng,PG,2022-12-22 00:21:00,-2.5744,150.7967,83.98,69,99,8.34
116,Tutoia,BR,2022-12-22 00:21:00,-2.7619,-42.2744,79.12,82,70,10.51
117,Paamiut,GL,2022-12-22 00:21:01,61.994,-49.6678,11.05,60,1,8.25
118,Oranjestad,AW,2022-12-22 00:20:43,12.524,-70.027,80.55,82,20,12.66
119,Salalah,OM,2022-12-22 00:20:36,17.0151,54.0924,70.61,53,7,3.65
120,Coquimbo,CL,2022-12-22 00:17:46,-29.9533,-71.3436,62.33,88,20,8.05
