City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
93,Den Helder,NL,2022-12-21 04:12:57,52.9599,4.7593,42.03,100,100,8.05
94,Praia Da Vitoria,PT,2022-12-21 04:12:57,38.7333,-27.0667,63.75,99,99,15.73
95,Taltal,CL,2022-12-21 04:07:37,-25.4,-70.4833,68.56,77,3,4.54
96,Sinnai,IT,2022-12-21 04:12:58,39.3042,9.2036,50.47,74,20,5.75
97,Veraval,IN,2022-12-21 04:12:58,20.9,70.3667,76.91,30,4,11.1
98,Wyndham,US,2022-12-21 04:12:58,37.6985,-77.6125,27.95,81,0,0.0
99,Sheridan,US,2022-12-21 04:09:47,44.8333,-106.9173,11.32,79,0,3.44
100,Leningradskiy,RU,2022-12-21 04:12:59,69.3833,178.4167,1.29,84,4,11.16
101,Saskylakh,RU,2022-12-21 04:05:01,71.9167,114.0833,-32.78,96,76,6.44
102,Sukumo,JP,2022-12-21 04:12:59,32.9333,132.7333,53.24,76,83,7.38
103,Roma,US,2022-12-21 04:00:14,43.2128,-75.4557,10.15,97,37,2.59
104,Nikolskoye,RU,2022-12-21 04:03:55,59.7035,30.7861,22.91,96,100,8.39
105,Izumo,JP,2022-12-21 04:12:59,35.3667,132.7667,42.6,86,100,10.54
106,Mehamn,NO,2022-12-21 04:13:00,71.0357,27.8492,24.71,80,75,10.36
107,Bengkulu,ID,2022-12-21 04:05:07,-3.8004,102.2655,84.96,64,77,8.16
108,Solnechnyy,RU,2022-12-21 04:13:00,50.7214,136.6319,-3.19,87,66,2.84
109,Saint-Georges,GD,2022-12-21 04:13:00,12.0564,-61.7485,76.98,83,3,12.88
110,Vitim,RU,2022-12-21 04:13:01,59.4511,112.5578,-16.4,93,82,3.02
111,Port Alfred,ZA,2022-12-21 04:05:11,-33.5906,26.891,60.19,95,100,7.0
112,Arraial Do Cabo,BR,2022-12-21 04:07:35,-22.9661,-42.0278,71.33,90,100,16.53
113,Isangel,VU,2022-12-21 04:06:18,-19.55,169.2667,84.25,66,15,3.15
114,Tuktoyaktuk,CA,2022-12-21 04:03:49,69.4541,-133.0374,-14.71,99,99,9.28
115,Ribeira Grande,PT,2022-12-21 04:06:26,38.5167,-28.7,64.78,96,100,17.0
